42,0.33125,1,49,80,704.64,5.5575
42.333,0.10625,1,52,80,710.24,1.7826
42.442,0.22292,1,51,80,712.05,3.7399
42.667,0.33125,1,50,80,715.83,5.5575
43,0.33125,1,49,80,721.42,5.5575
43.333,0.10625,1,52,80,727.01,1.7826
43.442,0.22292,1,51,80,728.83,3.7399
43.667,0.33125,1,50,80,732.61,5.5575
44,0.33125,1,49,80,738.2,5.5575
44.333,0.10625,1,51,80,743.79,1.7826
44.442,0.22292,1,50,80,745.61,3.7399
44.667,0.33125,1,49,80,749.38,5.5575
45,0.33125,1,48,80,754.97,5.5575
45.333,0.10625,1,51,80,760.57,1.7826
45.442,0.22292,1,49,80,762.38,3.7399
45.667,0.33125,1,47,80,766.16,5.5575
46,0.49792,1,46,43,771.75,8.3537
46.5,0.49792,1,47,66,780.14,8.3537
47,0.49792,1,52,80,788.53,8.3537
47.5,0.49792,1,55,103,796.92,8.3537
48,0.33125,1,48,80,805.31,5.5575
48.333,0.10625,1,52,80,810.9,1.7826
48.442,0.22292,1,51,80,812.72,3.7399
48.667,0.33125,1,48,80,816.49,5.5575
49,0.99792,1,47,80,822.08,16.742
50,0.99792,1,59,80,838.86,16.742
51,0.33125,1,48,80,855.64,5.5575
51.333,0.10625,1,51,80,861.23,1.7826
51.442,0.22292,1,50,80,863.05,3.7399
51.667,0.33125,1,47,80,866.82,5.5575
52,0.49792,1,46,80,872.42,8.3537
52.5,0.49792,1,47,80,880.8,8.3537
53,0.49792,1,52,80,889.19,8.3537
53.5,0.49792,1,55,80,897.58,8.3537
54,0.33125,1,48,44,905.97,5.5575
54.333,0.10625,1,52,80,911.56,1.7826
54.442,0.22292,1,51,45,913.38,3.7399
54.667,0.33125,1,48,48,917.15,5.5575
55,0.99792,1,47,46,922.75,16.742
56,1.4979,1,61,57,939.52,25.131
57.5,0.16458,1,59,92,964.69,2.7612
57.667,0.16458,1,57,91,967.49,2.7612
57.833,0.16458,1,56,95,970.28,2.7612
58,1.1646,1,54,93,973.08,19.538
59.167,0.16458,1,49,88,992.65,2.7612
59.333,0.16458,1,52,99,995.45,2.7612
59.5,0.16458,1,54,98,998.24,2.7612
59.667,0.16458,1,56,103,1001,2.7612
59.833,0.16458,1,59,98,1003.8,2.7612
60,0.49792,1,61,117,1006.6,8.3537
60.5,0.16458,1,59,94,1015,2.7612
60.667,0.16458,1,61,105,1017.8,2.7612
60.833,0.16458,1,63,99,1020.6,2.7612
61,0.24792,1,61,95,1023.4,4.1594
61.25,0.24792,1,59,90,1027.6,4.1594
61.5,0.24792,1,57,93,1031.8,4.1594
61.75,1.4146,1,56,90,1036,23.733
63.167,0.16458,1,57,99,1059.8,2.7612
63.333,0.16458,1,59,93,1062.6,2.7612
63.5,0.16458,1,60,99,1065.4,2.7612
63.667,0.16458,1,59,98,1068.1,2.7612
63.833,0.16458,1,57,95,1070.9,2.7612
64,0.16458,1,56,94,1073.7,2.7612
64.167,0.16458,1,57,98,1076.5,2.7612
64.333,0.16458,1,60,97,1079.3,2.7612
64.5,0.16458,1,62,103,1082.1,2.7612
64.667,0.16458,1,60,91,1084.9,2.7612
64.833,0.16458,1,57,93,1087.7,2.7612
65,0.12292,1,56,93,1090.5,2.0622
65.125,0.12292,1,55,92,1092.6,2.0622
65.25,0.12292,1,54,93,1094.7,2.0622
65.375,0.12292,1,52,94,1096.8,2.0622
65.5,0.12292,1,48,93,1098.9,2.0622
65.625,0.12292,1,52,102,1101,2.0622
65.75,0.12292,1,54,101,1103.1,2.0622
65.875,0.12292,1,55,98,1105.2,2.0622
66,0.99792,1,56,95,1107.3,16.742
67,0.12292,1,61,109,1124.1,2.0622
67.125,0.12292,1,59,98,1126.2,2.0622
67.25,0.12292,1,61,109,1128.3,2.0622
67.375,0.12292,1,59,98,1130.4,2.0622
67.5,0.12292,1,61,109,1132.5,2.0622
67.625,0.12292,1,59,98,1134.6,2.0622
67.75,0.12292,1,61,109,1136.7,2.0622
67.875,0.12292,1,59,98,1138.8,2.0622
68,0.99792,1,56,95,1140.9,16.742
69,0.12292,1,64,120,1157.6,2.0622
69.125,0.12292,1,63,96,1159.7,2.0622
